condition,alpha,seed,top_k,bottom_k,max_samples,epochs,batch_size,lr,overall_mse
bottomk,100.0,3,100,100,5000,,,,33421.92968236375
bottomk,100.0,4,100,100,5000,,,,37147.368974384684
bottomk,100.0,5,100,100,5000,,,,34285.44458597929
bottomk,100.0,2,100,100,5000,,,,28134.23900167515
bottomk,100.0,9,100,100,5000,,,,34812.071584422
bottomk,100.0,7,100,100,5000,,,,46419.48686093684
bottomk,100.0,0,100,100,5000,,,,21043.91123125111
bottomk,100.0,1,100,100,5000,,,,29043.582700357772
bottomk,100.0,6,100,100,5000,,,,23622.194468108053
bottomk,100.0,8,100,100,5000,,,,26324.94859300046
topk,100.0,3,100,100,5000,,,,1864.6695828438983
topk,100.0,4,100,100,5000,,,,2006.8066820716845
topk,100.0,5,100,100,5000,,,,1417.4703967730925
topk,100.0,2,100,100,5000,,,,2466.446515588442
topk,100.0,9,100,100,5000,,,,2114.067076630142
topk,100.0,7,100,100,5000,,,,1831.4474757173655
topk,100.0,1,100,100,5000,,,,1963.4437806126314
topk,100.0,6,100,100,5000,,,,2126.673381158383
topk,100.0,8,100,100,5000,,,,2242.6120387181018
all,,3,100,100,50000,,,,668.5629899483708
all,,4,100,100,50000,,,,904.486131874916
all,,5,100,100,50000,,,,568.7401861290878
all,,2,100,100,50000,,,,1148.8546090638783
all,,9,100,100,50000,,,,717.116435012776
all,,7,100,100,50000,,,,426.9775996885423
all,,0,100,100,50000,,,,600.619015496772
all,,1,100,100,50000,,,,419.1776846489747
all,,6,100,100,50000,,,,609.9226262051616
all,,8,100,100,50000,,,,432.45792805400276
bottomk,50.0,3,100,100,5000,,,,15470.685290180601
bottomk,50.0,4,100,100,5000,,,,15066.196629025519
bottomk,50.0,5,100,100,5000,,,,18746.747328427653
bottomk,50.0,2,100,100,5000,,,,20514.01746314249
bottomk,50.0,9,100,100,5000,,,,19213.74119371752
bottomk,50.0,7,100,100,5000,,,,18021.453380308085
bottomk,50.0,0,100,100,5000,,,,18856.92047431306
bottomk,50.0,1,100,100,5000,,,,22476.19944980072
bottomk,50.0,6,100,100,5000,,,,21094.70986833907
bottomk,50.0,8,100,100,5000,,,,21503.663578206342
topk,50.0,3,100,100,5000,,,,1826.331009556566
topk,50.0,4,100,100,5000,,,,1904.8029714503195
topk,50.0,5,100,100,5000,,,,1393.7118053468464
topk,50.0,2,100,100,5000,,,,2386.3947519427047
topk,50.0,9,100,100,5000,,,,1938.1568354730077
topk,50.0,7,100,100,5000,,,,1640.3609596738909
topk,50.0,0,100,100,5000,,,,1969.092367830674
topk,50.0,1,100,100,5000,,,,1920.4362592945652
topk,50.0,6,100,100,5000,,,,2045.8273361083784
topk,50.0,8,100,100,5000,,,,2133.2271121976296
topk,100.0,0,100,100,5000,,,,545.7906363969291
topk,100.0,0,100,100,10000,,,,538.3167322347566
topk,100.0,0,100,100,50000,,,,507.75124194726595
topk,100.0,0,100,100,20000,,,,518.7903654339234
topk,100.0,0,100,100,1000,,,,591.4284524207982
bottomk,0.0,3,100,100,5000,,,,15638.955426357226
bottomk,0.0,4,100,100,5000,,,,15137.248618939078
bottomk,0.0,5,100,100,5000,,,,18739.286415425555
bottomk,0.0,2,100,100,5000,,,,20600.736589534667
bottomk,0.0,9,100,100,5000,,,,19318.655904582072
bottomk,0.0,7,100,100,5000,,,,17938.79360008751
bottomk,0.0,0,100,100,5000,,,,18985.30171634399
bottomk,0.0,1,100,100,5000,,,,21987.007379029936
bottomk,0.0,6,100,100,5000,,,,20744.83907146637
bottomk,0.0,8,100,100,5000,,,,21457.81335142788
topk,0.0,3,100,100,5000,,,,1824.5468421172957
topk,0.0,4,100,100,5000,,,,1907.9720030089004
topk,0.0,5,100,100,5000,,,,1394.6356477671209
topk,0.0,2,100,100,5000,,,,2386.9656978541725
topk,0.0,9,100,100,5000,,,,1936.207619083816
topk,0.0,7,100,100,5000,,,,1640.423797736659
topk,0.0,0,100,100,5000,,,,1967.873779625148
topk,0.0,1,100,100,5000,,,,1924.307570276912
topk,0.0,6,100,100,5000,,,,2045.688073540658
topk,0.0,8,100,100,5000,,,,2134.751948261769
random,,3,100,100,5000,,,,2236.724648894623
random,,4,100,100,5000,,,,2476.0748990914212
random,,5,100,100,5000,,,,1940.0564910642695
random,,2,100,100,5000,,,,2834.7214957334404
random,,9,100,100,5000,,,,2529.4231462170833
random,,7,100,100,5000,,,,2121.2985940876747
random,,1,100,100,5000,,,,2429.9009141971123
random,,6,100,100,5000,,,,2513.6279838161486
random,,8,100,100,5000,,,,2639.1206999450824
random,,0,100,100,5000,,,,1045.918253390461
random,,0,100,100,10000,,,,762.4471546335055
random,,0,100,100,50000,,,,2029.1895958807015
random,,0,100,100,20000,,,,1088.7644621367274
random,,0,100,100,1000,,,,927.7686326646183
